Symbol,,Price~,Type,Strike,Expires,DTE,Bid x Size,Ask x Size,Trade,Size,Side,Premium,Volume,Open Int,IV,Delta,Code,*,Time
APLD,,13.44,Call,10.5,2025-08-01T16:30:00-05:00,1,2.45 x 61,2.50 x 340,2.5,360,ask,90000,2703,5738,0.00%,0,AUTO,N/A,09:34:36 ET
APLD,,13.44,Call,12,2025-08-08T16:30:00-05:00,8,1.45 x 192,1.55 x 1,1.5,418,mid,62700,1720,2730,110.80%,0.781943169,AUTO,N/A,09:34:36 ET
APLD,,13.44,Call,14,2025-08-01T16:30:00-05:00,1,0.40 x 18,0.40 x 1928,0.4,473,ask,18900,3287,3657,253.39%,0.404917039,AUTO,N/A,09:33:07 ET
APLD,,13.44,Call,13.5,2025-08-01T16:30:00-05:00,1,0.38 x 500,0.40 x 15,0.38,249,bid,9400,3022,4517,237.95%,0.510951407,AUTO,N/A,09:31:23 ET
APLD,,13.44,Call,13,2025-08-01T16:30:00-05:00,1,0.60 x 230,0.63 x 755,0.6,230,bid,13800,2876,3649,226.42%,0.6335108086,AUTO,N/A,09:32:16 ET
APLD,,13.44,Call,15,2025-09-19T16:30:00-05:00,50,1.18 x 2,1.20 x 172,1.2,331,ask,39700,1685,37741,95.63%,0.4536591293,AUTO,N/A,09:34:24 ET
APLD,,13.44,Call,13,2025-08-01T16:30:00-05:00,1,0.64 x 225,0.70 x 1,0.7,219,ask,15300,2876,3649,226.42%,0.6335108086,AUTO,N/A,09:34:36 ET
APLD,,13.44,Call,11,2025-09-19T16:30:00-05:00,50,2.25 x 1244,2.50 x 200,2.5,200,ask,50000,954,4065,85.81%,0.7906128869,AUTO,N/A,09:31:10 ET
APLD,,13.44,Call,14,2025-08-01T16:30:00-05:00,1,0.28 x 10,0.33 x 384,0.33,384,ask,12600,3287,3657,253.39%,0.404917039,AUTO,N/A,09:34:01 ET
APLD,,13.44,Call,21,2025-09-19T16:30:00-05:00,50,0.16 x 1628,0.46 x 86,0.4,200,mid,8000,201,1102,103.96%,0.1705520826,AUTO,N/A,09:31:12 ET
APLD,,13.44,Call,10.5,2025-08-01T16:30:00-05:00,1,2.30 x 169,2.50 x 206,2.5,200,ask,50000,2703,5738,0.00%,0,AUTO,N/A,09:32:33 ET
APLD,,13.44,Call,13,2025-08-01T16:30:00-05:00,1,0.64 x 232,0.65 x 203,0.65,200,ask,13000,2876,3649,226.42%,0.6335108086,AUTO,N/A,09:34:23 ET
APLD,,13.44,Call,12,2025-08-01T16:30:00-05:00,1,0.99 x 14,1.00 x 89,1,307,ask,30700,3246,10442,160.50%,0.9181137277,AUTO,N/A,09:31:31 ET
APLD,,13.44,Call,12,2025-09-19T16:30:00-05:00,50,2.10 x 390,2.24 x 2,2.2,751,mid,165200,1456,5407,87.16%,0.7023605215,AUTO,N/A,09:31:43 ET
APLD,,13.44,Call,13.5,2025-08-01T16:30:00-05:00,1,0.38 x 500,0.40 x 15,0.38,500,bid,19000,3022,4517,237.95%,0.510951407,AUTO,N/A,09:31:23 ET
APLD,,13.44,Call,13.5,2025-08-01T16:30:00-05:00,1,0.38 x 10,0.50 x 381,0.5,500,ask,25000,3022,4517,237.95%,0.510951407,AUTO,N/A,09:34:14 ET
APLD,,13.44,Call,12,2025-08-08T16:30:00-05:00,8,1.25 x 425,1.40 x 339,1.4,612,ask,85600,1720,2730,110.80%,0.781943169,AUTO,N/A,09:32:23 ET
APLD,,13.44,Call,15,2026-01-16T16:30:00-06:00,169,2.29 x 2061,2.53 x 486,2.29,535,bid,122500,1184,12158,90.26%,0.564175744,AUTO,N/A,09:33:48 ET
APLD,,13.4348,Put,13,2025-09-19T16:30:00-05:00,50,1.53 x 26,1.74 x 400,1.53,200,bid,30600,212,995,91.37%,-0.3897111641,AUTO,N/A,09:45:23 ET
APLD,,13.4348,Call,3,2025-09-19T16:30:00-05:00,50,10.30 x 8,10.65 x 1118,10.32,179,mid,184700,208,1091,312.81%,0.9698861961,SLAN,N/A,09:46:46 ET
APLD,,13.4348,Call,11,2025-08-08T16:30:00-05:00,8,2.36 x 1843,2.70 x 2,2.36,430,bid,101400,2023,5876,110.42%,0.9050332181,SLFT,N/A,09:46:25 ET
APLD,,13.4348,Call,14,2025-08-15T16:30:00-05:00,15,0.82 x 595,0.90 x 199,0.9,380,ask,34200,3911,5767,106.74%,0.4704762045,AUTO,N/A,09:44:28 ET
APLD,,13.4348,Call,14,2025-08-15T16:30:00-05:00,15,0.86 x 861,0.97 x 399,0.97,399,ask,38700,3911,5767,106.74%,0.4704762045,AUTO,N/A,09:46:04 ET
APLD,,13.4348,Call,14,2025-08-15T16:30:00-05:00,15,0.82 x 1710,0.94 x 1,0.9,300,mid,27000,3911,5767,106.74%,0.4704762045,SLAN,N/A,09:44:28 ET
